Gene,Healthy,Disease,H1,H2,H3,D1,D2,D3
TP53,5.1,11.4,4.9,5.2,5.1,11.1,11.7,11.4
BRCA1,4.2,9.3,4.0,4.3,4.2,9.0,9.6,9.3
EGFR,6.5,14.8,6.3,6.6,6.5,14.4,15.1,14.8
MYC,5.8,13.7,5.5,5.9,5.8,13.4,14.0,13.7
PTEN,4.6,2.4,4.5,4.7,4.6,2.5,2.3,2.4
KRAS,3.9,8.8,3.8,4.0,3.9,8.5,9.1,8.8
ALK,3.0,7.2,2.9,3.1,3.0,6.9,7.5,7.2
BRAF,3.5,10.1,3.4,3.6,3.5,9.8,10.4,10.1
CDK2,5.3,12.2,5.1,5.4,5.3,11.9,12.5,12.2
NRAS,3.7,9.4,3.6,3.8,3.7,9.1,9.7,9.4
PIK3CA,4.9,12.5,4.7,5.0,4.9,12.2,12.8,12.5
HER2,5.5,13.1,5.3,5.6,5.5,12.8,13.4,13.1
CDKN2A,3.2,7.5,3.1,3.3,3.2,7.2,7.8,7.5
MET,4.6,11.2,4.5,4.7,4.6,10.9,11.5,11.2
FGFR1,3.8,9.9,3.7,3.9,3.8,9.6,10.2,9.9
VEGFA,6.0,15.2,5.8,6.1,6.0,14.8,15.6,15.2
JAK2,4.3,10.7,4.2,4.4,4.3,10.4,11.0,10.7
STAT3,5.2,13.0,5.0,5.3,5.2,12.7,13.3,13.0
SMAD4,3.5,8.1,3.4,3.6,3.5,7.8,8.4,8.1
RB1,4.5,9.6,4.4,4.6,4.5,9.3,9.9,9.6
MAPK1,4.1,10.3,4.0,4.2,4.1,10.0,10.6,10.3
AKT1,5.0,12.0,4.8,5.1,5.0,11.7,12.3,12.0
MTOR,4.7,11.5,4.6,4.8,4.7,11.2,11.8,11.5
ERBB2,5.3,13.4,5.1,5.4,5.3,13.0,13.8,13.4
NFKB1,4.0,9.2,3.9,4.1,4.0,8.9,9.5,9.2
CCND1,5.6,14.1,5.4,5.7,5.6,13.7,14.5,14.1
CDH1,4.4,2.7,4.3,4.5,4.4,2.8,2.6,2.7
APC,3.9,7.0,3.8,4.0,3.9,6.8,7.2,7.0
CTNNB1,4.8,11.1,4.7,4.9,4.8,10.8,11.4,11.1
NOTCH1,3.6,8.5,3.5,3.7,3.6,8.2,8.8,8.5
PDGFRA,4.2,10.0,4.1,4.3,4.2,9.7,10.3,10.0
FLT3,3.7,8.9,3.6,3.8,3.7,8.6,9.2,8.9
SRC,4.5,11.8,4.4,4.6,4.5,11.5,12.1,11.8
HIF1A,5.1,13.6,5.0,5.2,5.1,13.2,14.0,13.6
MDM2,4.3,10.4,4.2,4.4,4.3,10.1,10.7,10.4
